Contacts N,Contacts N 1,Contacts N 2,Contacts N 3,Contacts N 4,Contacts N 5,Contacts N 6,Contacts N 7,Date Created,New Market,New Type
9,3,1,null,2,2,null,2,2/17/2022,market_3,type_3
8,3,3,null,null,null,null,1,1/4/2022,market_3,type_3
27,3,2,2,null,null,null,1,3/16/2022,market_3,type_2
9,null,null,null,null,null,1,1,1/23/2022,market_3,type_2
2,null,null,null,null,null,null,null,2/6/2022,market_3,type_4
null,null,null,null,null,null,null,null,3/16/2022,market_3,type_4
8,3,5,null,2,null,null,null,3/13/2022,market_3,type_3
27,1,2,null,3,1,null,null,2/9/2022,market_3,type_2
33,2,2,1,1,null,null,null,3/30/2022,market_3,type_2
18,5,10,4,5,5,5,3,2/11/2022,market_3,type_1
33,3,1,2,null,null,2,3,3/2/2022,market_3,type_2
110,15,11,8,1,null,3,2,3/22/2022,market_3,type_5
17,null,null,null,null,null,null,1,1/30/2022,market_3,type_2
null,null,1,null,null,null,null,null,3/12/2022,market_3,type_4
3,null,1,null,1,null,null,null,3/5/2022,market_3,type_3
31,null,null,null,null,null,1,null,1/7/2022,market_3,type_2
30,null,null,4,2,1,2,1,2/7/2022,market_3,type_2
12,3,0,1,0,1,0,0,1/5/2022,market_3,type_1
58,20,2,1,4,6,1,1,2/3/2022,market_3,type_5
7,0,4,0,0,0,0,0,1/4/2022,market_3,type_1
36,4,null,3,null,2,null,1,1/27/2022,market_3,type_2
null,null,null,null,null,null,null,null,1/20/2022,market_3,type_4
44,13,2,1,7,1,2,1,3/27/2022,market_3,type_5
14,4,6,9,9,4,4,4,1/28/2022,market_3,type_1
72,6,8,1,2,9,6,1,2/2/2022,market_3,type_5
10,3,null,null,2,null,null,null,1/27/2022,market_3,type_3
153,14,4,4,10,4,null,4,1/24/2022,market_3,type_5
2,null,null,null,null,null,null,null,1/13/2022,market_3,type_4
18,2,1,1,1,null,null,2,2/15/2022,market_3,type_3
9,null,5,null,null,2,2,1,2/12/2022,market_3,type_3
13,5,4,4,1,null,4,1,3/22/2022,market_3,type_3
46,1,3,2,null,null,null,null,1/3/2022,market_3,type_2
21,null,null,null,3,null,null,null,3/13/2022,market_3,type_2
4,null,null,2,null,null,null,null,1/15/2022,market_3,type_3
null,null,null,null,null,null,null,null,1/11/2022,market_3,type_4
26,null,2,2,1,1,2,null,1/25/2022,market_3,type_2
227,69,5,2,1,1,null,1,2/22/2022,market_3,type_5
10,2,1,2,2,null,4,3,2/8/2022,market_3,type_3
41,4,3,null,null,2,3,1,2/16/2022,market_3,type_2
40,1,1,1,2,1,null,1,2/14/2022,market_3,type_2
190,15,3,2,2,3,7,5,1/13/2022,market_3,type_5
20,1,null,null,2,1,null,null,1/15/2022,market_3,type_2
42,1,2,2,2,null,1,null,3/1/2022,market_3,type_2
34,3,1,1,4,2,1,3,2/17/2022,market_3,type_2
34,null,2,2,2,null,1,1,3/15/2022,market_3,type_2
7,1,6,4,0,0,0,0,3/29/2022,market_3,type_1
17,2,1,null,1,1,null,null,1/16/2022,market_3,type_2
1,null,null,null,null,null,null,null,3/20/2022,market_3,type_4
8,8,8,4,4,4,4,2,1/30/2022,market_3,type_1
104,5,5,2,1,2,null,1,2/20/2022,market_3,type_5
11,0,0,0,0,0,0,1,1/2/2022,market_3,type_1
150,21,2,3,1,2,4,5,3/23/2022,market_3,type_5
15,4,3,7,2,2,3,1,3/7/2022,market_3,type_3
12,5,2,null,4,3,null,2,3/24/2022,market_3,type_3
65,7,6,4,3,1,null,3,3/21/2022,market_3,type_5
129,8,3,null,1,2,4,2,3/31/2022,market_3,type_5
69,3,4,null,null,null,null,3,2/28/2022,market_3,type_5
30,1,6,null,null,null,null,null,1/18/2022,market_3,type_2
3,1,1,0,0,0,0,0,1/18/2022,market_3,type_1
39,2,null,null,1,5,2,null,3/24/2022,market_3,type_2
14,null,null,2,1,2,1,null,1/21/2022,market_3,type_3
89,7,5,1,null,1,2,2,2/5/2022,market_3,type_5
null,null,null,null,null,null,null,null,2/26/2022,market_3,type_4
84,16,4,11,4,3,2,1,3/28/2022,market_3,type_5
18,1,4,1,1,1,2,2,3/23/2022,market_3,type_3
13,8,4,4,4,4,2,2,1/31/2022,market_3,type_1
null,null,null,null,null,null,null,null,3/19/2022,market_3,type_4
9,2,1,null,null,null,null,null,2/22/2022,market_3,type_3
20,null,2,2,1,2,null,3,2/6/2022,market_3,type_2
9,null,null,5,1,null,null,null,1/25/2022,market_3,type_3
11,null,1,null,null,null,null,null,3/27/2022,market_3,type_2
null,null,null,null,null,null,null,null,2/19/2022,market_3,type_4
null,null,null,null,null,null,null,null,1/23/2022,market_3,type_4
5,2,0,0,0,0,0,0,3/12/2022,market_3,type_1
24,null,3,null,null,1,null,2,3/19/2022,market_3,type_2
16,null,null,null,null,null,null,null,1/8/2022,market_3,type_2
74,4,3,2,null,null,null,2,1/13/2022,market_3,type_2
13,1,2,2,null,1,null,null,3/26/2022,market_3,type_2
29,2,4,null,2,null,5,1,1/26/2022,market_3,type_2
10,4,7,5,4,10,4,5,2/8/2022,market_3,type_1
26,1,0,1,1,2,0,1,1/6/2022,market_3,type_1
7,1,null,null,1,null,null,null,2/5/2022,market_3,type_3
28,5,null,null,null,null,1,null,1/19/2022,market_3,type_2
22,1,null,null,null,2,null,2,2/15/2022,market_3,type_2
10,3,1,null,null,null,1,1,2/13/2022,market_3,type_3
25,3,4,2,null,null,3,3,3/15/2022,market_3,type_3
27,4,3,3,null,4,3,2,2/8/2022,market_3,type_2
3,null,null,null,null,null,null,null,1/31/2022,market_3,type_4
19,null,null,null,null,null,1,null,1/22/2022,market_3,type_2
16,4,3,2,7,2,1,1,3/11/2022,market_3,type_3
null,null,null,null,null,null,null,null,3/18/2022,market_3,type_4
9,2,null,1,1,null,2,1,2/18/2022,market_3,type_3
15,0,0,2,1,0,0,0,1/3/2022,market_3,type_1
1,null,null,null,null,null,null,null,1/10/2022,market_3,type_4
34,null,null,2,2,null,1,2,2/1/2022,market_3,type_2
11,3,2,1,1,null,null,null,1/12/2022,market_3,type_3
15,4,2,2,null,2,4,1,2/16/2022,market_3,type_3
13,4,3,4,2,null,null,2,3/14/2022,market_3,type_3
55,4,null,1,null,null,2,1,2/24/2022,market_3,type_5
null,null,null,1,null,null,null,null,2/15/2022,market_3,type_4
13,2,1,6,2,2,2,1,2/11/2022,market_3,type_3
14,null,null,null,null,null,null,null,1/18/2022,market_3,type_3
15,2,null,2,1,3,null,1,3/5/2022,market_3,type_2
null,null,null,null,null,null,null,null,1/21/2022,market_3,type_4
1,null,null,null,null,null,null,null,1/4/2022,market_3,type_4
5,5,null,1,1,1,1,null,3/27/2022,market_3,type_3
10,8,3,5,10,5,5,4,2/9/2022,market_3,type_1
38,4,8,6,4,2,2,null,3/12/2022,market_3,type_5
7,4,4,4,2,1,5,4,2/2/2022,market_3,type_1
14,4,4,null,2,2,1,1,3/16/2022,market_3,type_3
43,7,4,null,1,3,2,1,1/30/2022,market_3,type_5
6,0,1,1,0,0,0,0,3/10/2022,market_3,type_1
25,1,1,null,1,3,null,null,3/10/2022,market_3,type_2
5,1,null,null,null,1,null,null,2/17/2022,market_3,type_4
2,0,1,0,0,1,0,0,1/1/2022,market_3,type_1
181,44,16,10,6,6,2,6,3/4/2022,market_3,type_5
373,63,16,9,13,10,4,1,2/14/2022,market_3,type_5
173,7,2,10,2,2,4,8,1/21/2022,market_3,type_5
7,5,5,12,1,3,2,4,2/25/2022,market_3,type_1
58,4,3,6,2,1,4,10,1/25/2022,market_3,type_5
1,null,null,null,null,null,null,null,1/3/2022,market_3,type_4
1,null,null,1,null,null,null,null,1/14/2022,market_3,type_4
33,3,1,1,1,4,1,4,1/6/2022,market_3,type_2
null,null,null,null,null,null,null,null,3/5/2022,market_3,type_4
